state_name,received_message,timestamp,voltage,ambientTemperature,ambientPressure,pressureAlt,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ,estAngularRateX,estAngularRateY,estAngularRateZ,magneticFieldX,magneticFieldY,magneticFieldZ,estOrientQuaternionW,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,gpsLatitude,gpsLongitude,gpsAltitude,current_altitude,vertical_velocity,vertical_acceleration,maximum_altitude,pitch,roll,yaw,maximum_velocity,landing_velocity,crew_survivability
S,No Message Received,180244.0,0.0,14.82106781,1029.19042969,-131.87721252,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-22.25,-47.5,9.875,0.3961792,0.42077637,-0.58770752,-0.56616211,35.17577744,-76.82828522,-7.41499996,-0.34358215,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180275.0,0.0,14.82106781,1029.19042969,-131.87721252,0.109375,-9.56640625,0.45703125,0.0,0.0,0.0,-22.25,-47.5,9.875,0.39624023,0.42077637,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.34358215,0.0,9.57794014,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180292.0,0.0,14.82106781,1029.19042969,-131.87721252,0.109375,-9.60546875,0.41796875,0.0,0.0,0.0,-21.0625,-46.625,10.5625,0.39624023,0.42071533,-0.58770752,-0.56616211,35.17577744,-76.82828522,-7.45800018,-0.34358215,0.0,9.61508103,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180323.0,0.0,14.81593323,1029.18981934,-131.87225342,0.14453125,-9.56640625,0.37890625,0.0,0.0,0.0,-21.0625,-46.625,10.5625,0.39624023,0.42071533,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.33862305,0.0,9.5746125,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180345.0,0.0,14.81593323,1029.18981934,-131.87225342,0.109375,-9.56640625,0.37890625,0.0,0.0,0.0,-21.9375,-48.1875,10.0,0.39624023,0.42071533,-0.58776855,-0.56616211,35.17577744,-76.82828522,-7.54899979,-0.33862305,0.0,9.57419244,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180394.0,0.0,14.81593323,1029.18981934,-131.87225342,0.109375,-9.5234375,0.37890625,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58776855,-0.56616211,35.17577744,-76.82828522,-7.70800018,-0.33862305,0.0,9.53127623,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180424.0,0.0,14.81593323,1029.18505859,-131.83352661,0.18359375,-9.56640625,0.37890625,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.29989624,0.0,9.57507923,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180444.0,0.0,14.81593323,1029.18505859,-131.83352661,0.109375,-9.56640625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58770752,-0.56616211,35.17578125,-76.82828522,-7.87799978,-0.29989624,0.0,9.57606629,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180472.0,0.0,14.81593323,1029.18505859,-131.83352661,0.0703125,-9.5625,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58770752,-0.56616211,0.0,0.0,0.0,-0.29989624,0.0,9.57169808,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
S,No Message Received,180492.0,0.0,14.81593323,1029.18505859,-131.83352661,0.03125,-9.60546875,0.41796875,0.0,0.0,0.0,-22.875,-47.125,9.75,0.39624023,0.42071533,-0.58770752,-0.56622314,35.17578125,-76.82828522,-7.9289999,-0.29989624,0.0,9.61414756,0.0337677,0.0,0.0,0.0,0.0,0.0,0.0
